Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,15/04/2023,2nd,Punjab Kings,BRSABV Ekana Cricket Stadium,A Taide (c Avesh Khan),3.0,2/19,,9.00,6.33,1,9.50
,,,,,Prabhsimran Singh (b),,,,,,2,
2,19/04/2023,2nd,Rajasthan Royals,Sawai Mansingh Stadium,,2.0,0/27,,15.00,9.20,2,23.00
3,13/05/2023,1st,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Abhishek Sharma (c †Q de Kock),3.0,1/24,,16.00,8.75,3,23.33
4,05/05/2024,1st,Kolkata Knight Riders,BRSABV Ekana Cricket Stadium,Angkrish Raghuvanshi (c †K L Rahul),2.0,1/24,,15.00,9.40,4,23.50
5,14/05/2024,1st,Delhi Capitals,Arun Jaitley Stadium,,2.0,0/28,,18.00,10.17,4,30.50
6,05/04/2025,2nd,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,,2.0,0/20,,21.00,10.14,4,35.50
