Match,Date,M/Inns,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1,26/09/2020,1st,Sunrisers Hyderabad,Sheikh Zayed Stadium,,2.0,0/17,,,8.50,0,
2,30/09/2020,2nd,Rajasthan Royals,Dubai International Cricket Stadium,R V Uthappa (c Shivam Mavi),2.0,2/13,,12.00,7.50,1,15.00
,,,,,R Parag (c Shubman Gill),,,,,,2,
3,03/10/2020,1st,Delhi Capitals,Sharjah Cricket Stadium,P P Shaw (c Shubman Gill),3.0,1/35,,14.00,9.29,3,21.67
4,07/10/2020,2nd,Chennai Super Kings,Sheikh Zayed Stadium,A T Rayudu (c Shubman Gill),3.0,1/21,,15.00,8.60,4,21.50
5,10/10/2020,2nd,Punjab Kings,Sheikh Zayed Stadium,,3.0,0/40,,19.50,9.69,4,31.50
6,12/10/2020,1st,Royal Challengers Bengaluru,Sharjah Cricket Stadium,,4.0,0/36,,25.50,9.53,4,40.50
7,24/10/2020,2nd,Delhi Capitals,Sheikh Zayed Stadium,,2.0,0/11,,28.50,9.11,4,43.25
8,26/10/2020,2nd,Punjab Kings,Sharjah Cricket Stadium,did not bowl,,,,28.50,9.11,4,43.25
9,29/10/2020,2nd,Chennai Super Kings,Dubai International Cricket Stadium,,3.0,0/34,,33.00,9.41,4,51.75
10,01/11/2020,2nd,Rajasthan Royals,Dubai International Cricket Stadium,J C Archer (c Shivam Mavi),4.0,1/24,,31.20,8.88,5,46.20
11,21/04/2021,1st,Chennai Super Kings,Wankhede Stadium,,2.0,0/25,,33.60,9.14,5,51.20
12,27/03/2022,1st,Mumbai Indians,Brabourne Stadium,,2.0,0/29,,36.00,9.50,5,57.00
