,1,1,22/09/2020,Rajasthan Royals,Sharjah Cricket Stadium,0,0,0.00,,0,,,0,,,,23 years 235 days
0,2,2,25/09/2020,Delhi Capitals,Dubai International Cricket Stadium,5,5,2.50,,0,,,0,,,,23 years 238 days
1,3,3,23/10/2020,Mumbai Indians,Sharjah Cricket Stadium,0,5,1.67,,0,,,0,,,,23 years 266 days
2,4,4,25/10/2020,Royal Challengers Bengaluru,Dubai International Cricket Stadium,65*,70,23.33,,0,,2,2,,,,23 years 268 days
3,5,5,29/10/2020,Kolkata Knight Riders,Dubai International Cricket Stadium,72,142,35.50,,0,,1,3,,,,23 years 272 days
4,6,6,01/11/2020,Punjab Kings,Sheikh Zayed Stadium,62*,204,51.00,,0,,1,4,,,,23 years 275 days
5,7,7,10/04/2021,Delhi Capitals,Wankhede Stadium,5,209,41.80,,0,,,4,,,,24 years 69 days
6,8,8,16/04/2021,Punjab Kings,Wankhede Stadium,5,214,35.67,,0,,,4,,,,24 years 75 days
7,9,9,19/04/2021,Rajasthan Royals,Wankhede Stadium,10,224,32.00,,0,,1,5,,,,24 years 78 days
8,10,10,21/04/2021,Kolkata Knight Riders,Wankhede Stadium,64,288,36.00,,0,,,5,,,,24 years 80 days
9,11,11,25/04/2021,Royal Challengers Bengaluru,Wankhede Stadium,33,321,35.67,,0,,1,6,,,,24 years 84 days
10,12,12,28/04/2021,Sunrisers Hyderabad,Arun Jaitley Stadium,75,396,39.60,,0,,,6,,,,24 years 87 days
11,13,13,01/05/2021,Mumbai Indians,Arun Jaitley Stadium,4,400,36.36,,0,,1,7,,,,24 years 90 days
12,14,14,19/09/2021,Mumbai Indians,Dubai International Cricket Stadium,88*,488,44.36,,0,,,7,,,,24 years 231 days
13,15,15,24/09/2021,Royal Challengers Bengaluru,Sharjah Cricket Stadium,38,526,43.83,,0,,,7,,,,24 years 236 days
14,16,16,26/09/2021,Kolkata Knight Riders,Sheikh Zayed Stadium,40,566,43.54,,0,,,7,,,,24 years 238 days
15,17,17,30/09/2021,Sunrisers Hyderabad,Sharjah Cricket Stadium,45,611,43.64,,0,,,7,,,,24 years 242 days
16,18,18,02/10/2021,Rajasthan Royals,Sheikh Zayed Stadium,101*,712,50.86,,0,,1,8,,,,24 years 244 days
17,19,19,04/10/2021,Delhi Capitals,Dubai International Cricket Stadium,13,725,48.33,,0,,1,9,,,,24 years 246 days
18,20,20,07/10/2021,Punjab Kings,Dubai International Cricket Stadium,12,737,46.06,,0,,,9,,,,24 years 249 days
19,21,21,10/10/2021,Delhi Capitals,Dubai International Cricket Stadium,70,807,47.47,,0,,1,10,,,,24 years 252 days
20,22,22,15/10/2021,Kolkata Knight Riders,Dubai International Cricket Stadium,32,839,46.61,,0,,,10,,,,24 years 257 days
21,23,23,26/03/2022,Kolkata Knight Riders,Wankhede Stadium,0,839,44.16,,0,,,10,,,,25 years 54 days
22,24,24,31/03/2022,Lucknow Super Giants,Brabourne Stadium,1,840,42.00,,0,,,10,,,,25 years 59 days
23,25,25,03/04/2022,Punjab Kings,Brabourne Stadium,1,841,40.05,,0,,,10,,,,25 years 62 days
24,26,26,09/04/2022,Sunrisers Hyderabad,Dr DY Patil Sports Academy,16,857,38.95,,0,,,10,,,,25 years 68 days
25,27,27,12/04/2022,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,17,874,38.00,,0,,,10,,,,25 years 71 days
26,28,28,17/04/2022,Gujarat Titans,Maharashtra Cricket Association Stadium,73,947,39.46,,0,,1,11,,,,25 years 76 days
27,29,29,21/04/2022,Mumbai Indians,Dr DY Patil Sports Academy,0,947,37.88,,0,,,11,,,,25 years 80 days
28,30,30,25/04/2022,Punjab Kings,Wankhede Stadium,30,977,37.58,,0,,,11,,,,25 years 84 days
29,31,31,01/05/2022,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,99,1076,39.85,,0,,,11,,,,25 years 90 days
30,32,32,04/05/2022,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,28,1104,39.43,,0,,2,13,,,,25 years 93 days
31,33,33,08/05/2022,Delhi Capitals,Dr DY Patil Sports Academy,41,1145,39.48,,0,,1,14,,,,25 years 97 days
32,34,34,12/05/2022,Mumbai Indians,Wankhede Stadium,7,1152,38.40,,0,,,14,,,,25 years 101 days
33,35,35,15/05/2022,Gujarat Titans,Wankhede Stadium,53,1205,38.87,,0,,,14,,,,25 years 104 days
34,36,36,20/05/2022,Rajasthan Royals,Brabourne Stadium,2,1207,37.72,,0,,,14,,,,25 years 109 days
35,37,37,31/03/2023,Gujarat Titans,Narendra Modi Stadium,92,1299,39.36,,0,,1,15,,,,26 years 59 days
36,38,38,03/04/2023,Lucknow Super Giants,MA Chidambaram Stadium,57,1356,39.88,,0,,1,16,,,,26 years 62 days
37,39,39,08/04/2023,Mumbai Indians,Wankhede Stadium,40*,1396,41.06,,0,,1,17,,,,26 years 67 days
38,40,40,12/04/2023,Rajasthan Royals,MA Chidambaram Stadium,8,1404,40.11,,0,,,17,,,,26 years 71 days
39,41,41,17/04/2023,Royal Challengers Bengaluru,M Chinnaswamy Stadium,3,1407,39.08,,0,,2,19,,,,26 years 76 days
40,42,42,21/04/2023,Sunrisers Hyderabad,MA Chidambaram Stadium,35,1442,38.97,,0,,2,21,,,,26 years 80 days
41,43,43,23/04/2023,Kolkata Knight Riders,Eden Gardens,35,1477,38.87,,0,,1,22,,,,26 years 82 days
42,44,44,27/04/2023,Rajasthan Royals,Sawai Mansingh Stadium,47,1524,39.08,,0,,1,23,,,,26 years 86 days
43,45,45,30/04/2023,Punjab Kings,MA Chidambaram Stadium,37,1561,39.03,,0,,1,24,,,,26 years 89 days
44,46,,03/05/2023,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,1561,39.03,,0,,1,25,,,,26 years 92 days
45,47,46,06/05/2023,Mumbai Indians,MA Chidambaram Stadium,30,1591,38.80,,0,,2,27,,,,26 years 95 days
46,48,47,10/05/2023,Delhi Capitals,MA Chidambaram Stadium,24,1615,38.45,,0,,,27,,,,26 years 99 days
47,49,48,14/05/2023,Kolkata Knight Riders,MA Chidambaram Stadium,17,1632,37.95,,0,,,27,,,,26 years 103 days
48,50,49,20/05/2023,Delhi Capitals,Arun Jaitley Stadium,79,1711,38.89,,0,,2,29,,,,26 years 109 days
49,51,50,23/05/2023,Gujarat Titans,MA Chidambaram Stadium,60,1771,39.36,,0,,1,30,,,,26 years 112 days
50,52,51,29/05/2023,Gujarat Titans,Narendra Modi Stadium,26,1797,39.07,,0,,1,31,,,,26 years 118 days
51,53,52,22/03/2024,Royal Challengers Bengaluru,MA Chidambaram Stadium,15,1812,38.55,,0,,,31,,,,27 years 51 days
52,54,53,26/03/2024,Gujarat Titans,MA Chidambaram Stadium,46,1858,38.71,,0,,,31,,,,27 years 55 days
53,55,54,31/03/2024,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,1,1859,37.94,,0,,1,32,,,,27 years 60 days
54,56,55,05/04/2024,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,26,1885,37.70,,0,,,32,,,,27 years 65 days
55,57,56,08/04/2024,Kolkata Knight Riders,MA Chidambaram Stadium,67*,1952,39.04,,0,,,32,,,,27 years 68 days
56,58,57,14/04/2024,Mumbai Indians,Wankhede Stadium,69,2021,39.63,,0,,,32,,,,27 years 74 days
57,59,58,19/04/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,17,2038,39.19,,0,,,32,,,,27 years 79 days
58,60,59,23/04/2024,Lucknow Super Giants,MA Chidambaram Stadium,108*,2146,41.27,,0,,1,33,,,,27 years 83 days
59,61,60,28/04/2024,Sunrisers Hyderabad,MA Chidambaram Stadium,98,2244,42.34,,0,,,33,,,,27 years 88 days
60,62,61,01/05/2024,Punjab Kings,MA Chidambaram Stadium,62,2306,42.70,,0,,1,34,,,,27 years 91 days
61,63,62,05/05/2024,Punjab Kings,Himachal Pradesh Cricket Association Stadium,32,2338,42.51,,0,,,34,,,,27 years 95 days
62,64,63,10/05/2024,Gujarat Titans,Narendra Modi Stadium,0,2338,41.75,,0,,,34,,,,27 years 100 days
63,65,64,12/05/2024,Rajasthan Royals,MA Chidambaram Stadium,42*,2380,42.50,,0,,2,36,,,,27 years 102 days
64,66,65,18/05/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,0,2380,41.75,,0,,,36,,,,27 years 108 days
65,67,66,23/03/2025,Mumbai Indians,MA Chidambaram Stadium,53,2433,41.95,,0,,1,37,,,,28 years 51 days
66,68,67,28/03/2025,Royal Challengers Bengaluru,MA Chidambaram Stadium,0,2433,41.24,,0,,1,38,,,,28 years 56 days
67,69,68,30/03/2025,Rajasthan Royals,Barsapara Cricket Stadium,63,2496,41.60,,0,,1,39,,,,28 years 58 days
68,70,69,05/04/2025,Delhi Capitals,MA Chidambaram Stadium,5,2501,41.00,,0,,,39,,,,28 years 64 days
69,71,70,08/04/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,1,2502,40.35,,0,,,39,,,,28 years 67 days
