1,1,01/04/2023,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,22,22,22.00,,0,,,0,1,,1,21 years 124 days
2,2,06/04/2023,Royal Challengers Bengaluru,Eden Gardens,57,79,39.50,,0,,,0,,,1,21 years 129 days
3,3,09/04/2023,Gujarat Titans,Narendra Modi Stadium,15,94,31.33,,0,,,0,,,1,21 years 132 days
4,4,14/04/2023,Sunrisers Hyderabad,Eden Gardens,0,94,23.50,,0,,,0,1,,2,21 years 137 days
5,5,16/04/2023,Mumbai Indians,Wankhede Stadium,8,102,20.40,,0,,,0,2,,4,21 years 139 days
6,6,29/04/2023,Gujarat Titans,Eden Gardens,81,183,30.50,,0,,,0,,,4,21 years 152 days
7,7,04/05/2023,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,0,183,26.14,,0,,,0,2,,6,21 years 157 days
8,8,08/05/2023,Punjab Kings,Eden Gardens,15,198,24.75,,0,,,0,4,,10,21 years 161 days
9,9,11/05/2023,Rajasthan Royals,Eden Gardens,18,216,24.00,,0,,,0,,,10,21 years 164 days
10,10,14/05/2023,Chennai Super Kings,MA Chidambaram Stadium,1,217,21.70,,0,,,0,,,10,21 years 167 days
11,11,20/05/2023,Lucknow Super Giants,Eden Gardens,10,227,20.64,,0,,,0,,,10,21 years 173 days
12,,19/05/2024,Rajasthan Royals,Barsapara Cricket Stadium,-,227,20.64,,0,,,0,,,10,22 years 173 days
13,12,21/05/2024,Sunrisers Hyderabad,Narendra Modi Stadium,23,250,20.83,,0,,,0,2,,12,22 years 175 days
14,13,26/05/2024,Sunrisers Hyderabad,MA Chidambaram Stadium,39,289,22.23,,0,,,0,3,,15,22 years 180 days
15,14,21/04/2025,Gujarat Titans,Eden Gardens,1,290,20.71,,0,,,0,1,,16,23 years 144 days
