1,,23/03/2025,Chennai Super Kings,MA Chidambaram Stadium,-,0,,3/32,3,10.67,,0,,,,24 years 21 days
2,,31/03/2025,Kolkata Knight Riders,Wankhede Stadium,-,0,,1/21,4,13.25,,0,,,,24 years 29 days
3,,04/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,0,,1/31,5,16.80,1,1,,,,24 years 33 days
4,,07/04/2025,Royal Challengers Bengaluru,Wankhede Stadium,-,0,,1/10,6,15.67,,1,,,,24 years 36 days
5,,23/04/2025,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,0,,0/15,6,18.17,1,2,,,,24 years 52 days
