1,,16/04/2023,Kolkata Knight Riders,Wankhede Stadium,-,0,,0/17,0,,,0,,,,23 years 204 days
2,,18/04/2023,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,0,,1/18,1,35.00,,0,,,,23 years 206 days
3,,22/04/2023,Punjab Kings,Wankhede Stadium,-,0,,1/48,2,41.50,,0,,,,23 years 210 days
4,1,25/04/2023,Gujarat Titans,Narendra Modi Stadium,13,13,13.00,1/9,3,30.67,,0,,,,23 years 213 days
5,,17/05/2024,Lucknow Super Giants,Wankhede Stadium,-,13,13.00,0/22,3,38.00,,0,,,,24 years 236 days
