1,1,20/04/2023,Kolkata Knight Riders,Arun Jaitley Stadium,5,5,5.00,,0,,,0,,,,26 years 235 days
2,2,24/04/2023,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,0,5,2.50,,0,,,0,1,,1,26 years 239 days
3,3,29/04/2023,Sunrisers Hyderabad,Arun Jaitley Stadium,59,64,21.33,,0,,,0,2,,3,26 years 244 days
4,4,02/05/2023,Gujarat Titans,Narendra Modi Stadium,0,64,16.00,,0,,,0,1,,4,26 years 247 days
5,5,06/05/2023,Royal Challengers Bengaluru,Arun Jaitley Stadium,87,151,30.20,,0,,,0,1,,5,26 years 251 days
6,6,10/05/2023,Chennai Super Kings,MA Chidambaram Stadium,17,168,28.00,,0,,,0,,,5,26 years 255 days
7,7,13/05/2023,Punjab Kings,Arun Jaitley Stadium,21,189,27.00,,0,,,0,,,5,26 years 258 days
8,8,17/05/2023,Punjab Kings,Himachal Pradesh Cricket Association Stadium,26*,215,30.71,,0,,,0,,,5,26 years 262 days
9,9,20/05/2023,Chennai Super Kings,Arun Jaitley Stadium,3,218,27.25,,0,,,0,,,5,26 years 265 days
10,10,23/03/2024,Sunrisers Hyderabad,Eden Gardens,54,272,30.22,,0,,,0,,,5,27 years 208 days
11,11,29/03/2024,Royal Challengers Bengaluru,M Chinnaswamy Stadium,30,302,30.20,,0,,,0,1,,6,27 years 214 days
12,12,03/04/2024,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,18,320,29.09,,0,,,0,1,,7,27 years 219 days
13,13,08/04/2024,Chennai Super Kings,MA Chidambaram Stadium,0,320,26.67,,0,,,0,,,7,27 years 224 days
14,14,14/04/2024,Lucknow Super Giants,Eden Gardens,89*,409,34.08,,0,,,0,2,,9,27 years 230 days
15,15,16/04/2024,Rajasthan Royals,Eden Gardens,10,419,32.23,,0,,,0,,,9,27 years 232 days
16,16,21/04/2024,Royal Challengers Bengaluru,Eden Gardens,48,467,33.36,,0,,,0,1,,10,27 years 237 days
17,17,26/04/2024,Punjab Kings,Eden Gardens,75,542,36.13,,0,,,0,,,10,27 years 242 days
18,18,29/04/2024,Delhi Capitals,Eden Gardens,68,610,38.13,,0,,,0,3,,13,27 years 245 days
19,19,03/05/2024,Mumbai Indians,Wankhede Stadium,5,615,36.18,,0,,,0,1,,14,27 years 249 days
20,20,05/05/2024,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,32,647,35.94,,0,,,0,2,,16,27 years 251 days
21,21,11/05/2024,Mumbai Indians,Eden Gardens,6,653,34.37,,0,,,0,1,,17,27 years 257 days
22,22,22/03/2025,Kolkata Knight Riders,Eden Gardens,56,709,35.45,,0,,,0,,,17,28 years 206 days
23,23,28/03/2025,Chennai Super Kings,MA Chidambaram Stadium,32,741,35.29,,0,,3,3,,,17,28 years 212 days
24,24,02/04/2025,Gujarat Titans,M Chinnaswamy Stadium,14,755,34.32,,0,,,3,,,17,28 years 217 days
25,25,07/04/2025,Mumbai Indians,Wankhede Stadium,4,759,33.00,,0,,1,4,,,17,28 years 222 days
26,26,10/04/2025,Delhi Capitals,M Chinnaswamy Stadium,37,796,33.17,,0,,,4,,,17,28 years 225 days
27,27,13/04/2025,Rajasthan Royals,Sawai Mansingh Stadium,65,861,34.44,,0,,,4,,,17,28 years 228 days
28,28,18/04/2025,Punjab Kings,M Chinnaswamy Stadium,4,865,33.27,,0,,1,5,,,17,28 years 233 days
29,29,20/04/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,1,866,32.07,,0,,,5,,,17,28 years 235 days
30,30,24/04/2025,Rajasthan Royals,M Chinnaswamy Stadium,26,892,31.86,,0,,1,6,,,17,28 years 239 days
31,31,23/05/2025,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,62,954,32.90,,0,,2,8,,,17,28 years 268 days
32,32,27/05/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,30,984,32.80,,0,,,8,,,17,28 years 272 days
33,33,29/05/2025,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,56*,1040,34.67,,0,,,8,,,17,28 years 274 days
