22,6,15/10/2021,Chennai Super Kings,Dubai International Cricket Stadium,18*,62,,0/56,24,27.00,,3,,,,30 years 124 days
23,,28/03/2022,Lucknow Super Giants,Wankhede Stadium,-,62,,0/24,24,28.00,,3,,,,30 years 288 days
24,,02/04/2022,Delhi Capitals,Maharashtra Cricket Association Stadium,-,62,,4/28,28,25.00,,3,,,,30 years 293 days
25,,08/04/2022,Punjab Kings,Brabourne Stadium,-,62,,1/33,29,25.28,,3,,,,30 years 299 days
26,,11/04/2022,Sunrisers Hyderabad,Dr DY Patil Sports Academy,-,62,,0/46,29,26.86,,3,,,,30 years 302 days
27,,14/04/2022,Rajasthan Royals,Dr DY Patil Sports Academy,-,62,,3/23,32,25.06,,3,,,,30 years 305 days
28,7,17/04/2022,Chennai Super Kings,Maharashtra Cricket Association Stadium,0*,62,,0/46,32,26.50,,3,,,,30 years 308 days
29,8,23/04/2022,Kolkata Knight Riders,Dr DY Patil Sports Academy,0,62,62.00,1/33,33,26.70,2,5,,,,30 years 314 days
30,,27/04/2022,Sunrisers Hyderabad,Wankhede Stadium,-,62,62.00,0/52,33,28.27,,5,,,,30 years 318 days
31,,30/04/2022,Royal Challengers Bengaluru,Brabourne Stadium,-,62,62.00,1/36,34,28.50,,5,,,,30 years 321 days
32,9,03/05/2022,Punjab Kings,Dr DY Patil Sports Academy,5,67,33.50,1/29,35,28.51,,5,,,,30 years 324 days
33,,06/05/2022,Mumbai Indians,Brabourne Stadium,-,67,33.50,1/34,36,28.67,,5,,,,30 years 327 days
34,,19/05/2022,Royal Challengers Bengaluru,Wankhede Stadium,-,67,33.50,0/21,36,29.25,,5,,,,30 years 340 days
35,,29/05/2022,Rajasthan Royals,Narendra Modi Stadium,-,67,33.50,0/22,36,29.86,,5,,,,30 years 350 days
36,,09/04/2023,Gujarat Titans,Narendra Modi Stadium,-,67,33.50,0/40,36,30.97,,5,,,,31 years 300 days
37,,14/04/2023,Sunrisers Hyderabad,Eden Gardens,-,67,33.50,0/37,36,32.00,,5,,,,31 years 305 days
38,,16/04/2023,Mumbai Indians,Wankhede Stadium,-,67,33.50,1/19,37,31.65,,5,,,,31 years 307 days
39,,15/04/2024,Sunrisers Hyderabad,M Chinnaswamy Stadium,-,67,33.50,2/52,39,31.36,1,6,,,,32 years 307 days
40,10,21/04/2024,Kolkata Knight Riders,Eden Gardens,1,68,22.67,1/47,40,31.75,,6,,,,32 years 313 days
41,,25/04/2024,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,68,22.67,0/28,40,32.45,,6,,,,32 years 317 days
42,,09/05/2024,Punjab Kings,Himachal Pradesh Cricket Association Stadium,-,68,22.67,2/29,42,31.60,1,7,,,,32 years 331 days
43,,12/05/2024,Delhi Capitals,M Chinnaswamy Stadium,-,68,22.67,2/23,44,30.68,1,8,,,,32 years 334 days
44,,18/05/2024,Chennai Super Kings,M Chinnaswamy Stadium,-,68,22.67,1/39,45,30.87,1,9,,,,32 years 340 days
45,,22/05/2024,Rajasthan Royals,Narendra Modi Stadium,-,68,22.67,1/37,46,31.00,,9,,,,32 years 344 days
46,,01/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,68,22.67,1/26,47,30.89,,9,,,,33 years 292 days
47,11,05/04/2025,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,4*,72,24.00,2/37,49,30.39,,9,,,,33 years 296 days
48,,08/04/2025,Chennai Super Kings,Maharaja Yadavindra Singh International Cricket St,-,72,24.00,2/40,51,29.98,,9,,,,33 years 299 days
49,,12/04/2025,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,-,72,24.00,0/1,51,30.00,,9,,,,33 years 303 days
