1,1,08/04/2017,Delhi Capitals,M Chinnaswamy Stadium,9,9,9.00,,0,,,0,,,,23 years 127 days
2,2,10/04/2017,Punjab Kings,Holkar Cricket Stadium,7,16,8.00,,0,,,0,,,,23 years 129 days
3,3,14/05/2017,Delhi Capitals,Arun Jaitley Stadium,3,19,6.33,,0,,,0,,2,2,23 years 163 days
4,4,12/05/2023,Gujarat Titans,Wankhede Stadium,30,49,12.25,,0,,,0,,,2,29 years 161 days
5,5,16/05/2023,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,2,51,10.20,,0,,,0,,,2,29 years 165 days
6,6,26/05/2023,Gujarat Titans,Narendra Modi Stadium,5,56,9.33,,0,,,0,,,2,29 years 175 days
