1,1,23/03/2025,Chennai Super Kings,MA Chidambaram Stadium,13,13,13.00,,0,,,0,1,,1,28 years 255 days
2,2,29/03/2025,Gujarat Titans,Narendra Modi Stadium,6,19,9.50,,0,,,0,1,,2,28 years 261 days
3,3,31/03/2025,Kolkata Knight Riders,Wankhede Stadium,62*,81,40.50,,0,,,0,1,,3,28 years 263 days
4,4,04/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,10,91,30.33,,0,,,0,1,,4,28 years 267 days
5,5,07/04/2025,Royal Challengers Bengaluru,Wankhede Stadium,17,108,27.00,,0,,,0,1,,5,28 years 270 days
6,6,13/04/2025,Delhi Capitals,Arun Jaitley Stadium,41,149,29.80,,0,,,0,,1,6,28 years 276 days
7,7,17/04/2025,Sunrisers Hyderabad,Wankhede Stadium,31,180,30.00,,0,,,0,,1,7,28 years 280 days
8,8,20/04/2025,Chennai Super Kings,Wankhede Stadium,24,204,29.14,,0,,,0,1,1,9,28 years 283 days
9,9,23/04/2025,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,11,215,26.88,,0,,,0,2,,11,28 years 286 days
10,10,27/04/2025,Lucknow Super Giants,Wankhede Stadium,58,273,30.33,,0,,,0,,,11,28 years 290 days
11,11,01/05/2025,Rajasthan Royals,Sawai Mansingh Stadium,61,334,33.40,,0,,,0,,,11,28 years 294 days
12,12,06/05/2025,Gujarat Titans,Wankhede Stadium,2,336,30.55,,0,,,0,2,,13,28 years 299 days
13,13,21/05/2025,Delhi Capitals,Wankhede Stadium,25,361,30.08,,0,,,0,1,2,16,28 years 314 days
14,14,26/05/2025,Punjab Kings,Sawai Mansingh Stadium,27,388,29.85,,0,,,0,,,16,28 years 319 days
