1,1,27/03/2022,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,0,0,0.00,,0,,,0,,,,19 years 135 days
2,2,01/04/2022,Kolkata Knight Riders,Wankhede Stadium,11,11,5.50,,0,,,0,,,,19 years 140 days
3,,04/04/2025,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,-,11,5.50,,0,,1,1,,,,22 years 143 days
4,,30/05/2025,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,-,11,5.50,,0,,,1,,,,22 years 199 days
