Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,22/04/2024,1st,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,0,0,,-
2,,27/04/2024,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,0,0,,-
3,,30/04/2024,1st,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
4,,03/05/2024,2nd,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
5,,06/05/2024,2nd,-,Sunrisers Hyderabad,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
6,,11/05/2024,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,0,0,,-
7,,17/05/2024,2nd,-,Lucknow Super Giants,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
8,,27/05/2025,2nd,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
