Name,Date,Runs,B/F,Batting S/R,Career Runs Avg,Career Batting S/R Avg,Career B/F Avg,Rolling Runs Avg,Rolling B/F Avg,Rolling Batting S/R Avg,Batting Match Points
CORBIN BOSCH,2025-04-27,20,10,200.0,0.0,0.0,0.0,0.0,0.0,0.0,26
CORBIN BOSCH,2025-05-06,27,22,122.73,20.0,200.0,10.0,20.0,10.0,200.0,31
