,Name,Team,Role,Predicted Role
159,Vyshak Vijaykumar,PBKS,Bowler,Bowler
160,Yash Thakur,PBKS,Bowler,Bowler
161,Lockie Ferguson,PBKS,Bowler,Bowler
162,Kuldeep Sen,PBKS,Bowler,Bowler
163,Xavier Bartlett,PBKS,Bowler,Bowler
164,Pravin Dubey,PBKS,Bowler,Bowler
165,Sanju Samson,RR,WK-Batter,WK-Batter
166,Shubham Dubey,RR,Batter,Batter
167,Vaibhav Suryavanshi,RR,Batter,Batter
168,Kunal Rathore,RR,WK-Batter,WK-Batter
169,Shimron Hetmyer,RR,Batter,Batter
170,Yashasvi Jaiswal,RR,Batter,Batter
171,Dhruv Jurel,RR,WK-Batter,WK-Batter
172,Riyan Parag,RR,All-Rounder,Batter
173,Nitish Rana,RR,All-Rounder,Batter
174,Yudhvir Charak,RR,All-Rounder,All-Rounder
175,Jofra Archer,RR,Bowler,Bowler
176,Maheesh Theekshana,RR,Bowler,Bowler
177,Wanindu Hasaranga,RR,All-Rounder,Bowler
178,Akash Madhwal,RR,Bowler,Bowler
179,Kumar Kartikeya Singh,RR,Bowler,Bowler
180,Tushar Deshpande,RR,Bowler,Bowler
181,Fazalhaq Farooqi,RR,Bowler,Bowler
182,Kwena Maphaka,RR,Bowler,Bowler
183,Ashok Sharma,RR,Bowler,Bowler
184,Sandeep Sharma,RR,Bowler,Bowler
185,Rajat Patidar,RCB,Batter,Batter
186,Virat Kohli,RCB,Batter,Batter
187,Phil Salt,RCB,WK-Batter,WK-Batter
188,Jitesh Sharma,RCB,WK-Batter,WK-Batter
189,Devdutt Padikkal,RCB,Batter,Batter
190,Swastik Chhikara,RCB,Batter,Batter
191,Liam Livingstone,RCB,All-Rounder,Batter
192,Krunal Pandya,RCB,All-Rounder,Bowler
193,Swapnil Singh,RCB,All-Rounder,All-Rounder
194,Tim David,RCB,Batter,Batter
195,Romario Shepherd,RCB,All-Rounder,All-Rounder
196,Manoj Bhandage,RCB,All-Rounder,All-Rounder
197,Jacob Bethell,RCB,Batter,Batter
198,Josh Hazlewood,RCB,Bowler,Bowler
199,Rasikh Dar,RCB,Bowler,Bowler
200,Suyash Sharma,RCB,Bowler,Bowler
201,Bhuvneshwar Kumar,RCB,Bowler,Bowler
202,Nuwan Thushara,RCB,Bowler,Bowler
203,Lungisani Ngidi,RCB,Bowler,Bowler
204,Abhinandan Singh,RCB,Bowler,Bowler
205,Mohit Rathee,RCB,All-Rounder,Bowler
206,Yash Dayal,RCB,Bowler,Bowler
207,Ishan Kishan,SRH,WK-Batter,WK-Batter
208,Atharva Taide,SRH,Batter,Batter
209,Abhinav Manohar,SRH,Batter,Batter
210,Aniket Verma,SRH,Batter,Batter
211,Sachin Baby,SRH,Batter,Batter
212,Heinrich Klaasen,SRH,WK-Batter,WK-Batter
213,Travis Head,SRH,Batter,Batter
214,Harshal Patel,SRH,Bowler,Bowler
215,Kamindu Mendis,SRH,All-Rounder,All-Rounder
216,Wiaan Mulder,SRH,All-Rounder,All-Rounder
217,Abhishek Sharma,SRH,All-Rounder,Batter
218,Nitish Kumar Reddy,SRH,Batter,Batter
219,Pat Cummins,SRH,Bowler,Bowler
220,Mohammad Shami,SRH,Bowler,Bowler
221,Rahul Chahar,SRH,Bowler,Bowler
222,Adam Zampa,SRH,Bowler,Bowler
223,Simarjeet Singh,SRH,Bowler,Bowler
224,Zeeshan Ansari,SRH,Bowler,Bowler
225,Jaydev Unadkat,SRH,Bowler,Bowler
226,Eshan Malinga,SRH,Bowler,Bowler

